Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
FR;FR420976367;2593;DE;DE3030200694;49473706;212;8562615;-4594914
SE;SE5560515875;2932;DE;DE3030200694;18930990;71;2612474;814542
SE;SE5560721291;2550;DE;DE3030200694;11465440;53;254232;970402
SE;SE5560885765;2932;DE;DE3030200694;15548795;72;1616521;817736
SE;SE5562429448;2932;DE;DE3030200694;54026765;160;5098897;5156068
SK;SK36315991;4674;DE;DE3030200694;16085987;125;1214820;-1169732
DE;DE3030106270;2453;DE;DE3030241885;28815045;361;20626755;-396718
DE;DE3030190702;7022;DE;DE3030252527;31590835;504;501545;44712
DE;DE3030055023;2790;DE;DE3030258366;9510703;95;304048;22618
PL;PL970471033;2712;DE;DE3050001543;6339903;50;853666;65000
DE;DE3050021588;150;DE;DE3050042556;1377464;9;24589;130906
DE;DE3050023508;8211;DE;DE3050042556;131252;3;24589;-9538
DE;DE3050056331;141;DE;DE3050042556;803123;14;1645335;18278
DE;DE2150871448;3820;DE;DE3050116141;3015960;26;4711655;91645
DE;DE3050018978;3820;DE;DE3050116141;1128895;18;422239;9338
DE;DE3050188221;3832;DE;DE3050116141;3102798;18;621761;195443
DE;DE3050196866;7311;DE;DE3050116141;552920;2;137;-75343
DE;DE3070314978;3832;DE;DE3050116141;1524637;33;920178;-940297
DE;DE3050056166;146;DE;DE3050172554;14447583;48;7307900;2880902
DE;DE3050183145;1013;DE;DE3050172554;7175362;104;1136130;186738
DE;DE3050187418;6831;DE;DE3050172554;560705;1;2802872;48481
DE;DE3050183236;4322;DE;DE3050195234;26044283;223;9479290;2000008
DE;DE3070303904;1092;DE;DE3070000702;761320;11;583802;-80096
DE;DE3070491974;7112;DE;DE3070009998;18577097;281;535653;-603
CZ;CZ25428934;2932;DE;DE3070014606;5824576;150;1864643;667667
DE;DE3070038094;1031;DE;DE3070014646;4239877;46;913175;-227057
DE;DE3070353659;4332;DE;DE3070016648;813386;5;10700;29209
DE;DE3070173109;4634;DE;DE3070017171;9705995;38;477199;146628
CZ;CZ25033212;4676;DE;DE3070017276;1126006;3;5339;17819
DE;DE3070389529;2712;DE;DE3070018710;3287712;8;784102;781817
DE;DE3070072115;4621;DE;DE3070023409;12604107;18;1049523;452407
DE;DE3070106278;5210;DE;DE3070023409;5620169;2;475265;54815
DE;DE3070132873;6832;DE;DE3070023409;264187;1;1383393;37573
DE;DE3070146863;150;DE;DE3070023409;4787856;15;2447079;-170199
DE;DE3070368259;150;DE;DE3070023409;1587860;6;118065;388247
DE;DE3070170470;4742;DE;DE3070029936;3631341;43;279278;505971
DE;DE3070127464;150;DE;DE3070043534;9878027;74;13105731;851991
DE;DE3070158382;5610;DE;DE3070064171;53484757;971;9478544;723689
DE;DE3070377478;4120;DE;DE3070100543;5744756;40;116491;298840
DE;DE3070464838;7010;DE;DE3070133596;1704761;18;17111;91240
DE;DE3070465776;3511;DE;DE3070133596;1328278;20;124419;21898720
DE;DE3070112171;6201;DE;DE3070210314;21112063;220;5216148;855253
DE;DE3070467900;6201;DE;DE3070258625;161975;18;4656;-285505
CZ;CZ25968335;3250;DE;DE3070266441;5246914;75;453742;59374
DE;DE3070005032;2120;DE;DE3070285561;33550842;170;9740185;-2661501
DE;DE3070399094;7010;DE;DE3070286447;199400;1;297;-1464
DE;DE3070139170;4321;DE;DE3070286667;8104163;89;468942;221170
DE;DE3070094457;1812;DE;DE3070338128;19413939;112;8622946;-522193
DE;DE3070106604;2652;DE;DE3070343443;5167554;49;142252;70180
DE;DE3070349825;6810;DE;DE3070346416;8830686;17;643683;288042
DE;DE2012297646;3312;DE;DE3070365274;358111;6;6927;-68865
DE;DE3070273025;2822;DE;DE3070365274;3902269;42;692551;-262869
DE;DE3070039120;4669;DE;DE3070365286;1956821;6;83775;-295328
DE;DE3070154764;3832;DE;DE3070366152;1567136;18;862457;12728
DE;DE3070015264;6201;DE;DE3070368646;2504483;46;57125;136247
DE;DE3070238782;4652;DE;DE3070428133;4949035;50;122437;27251
DE;DE3070294639;6209;DE;DE3070428133;4009913;29;116204;620116
DE;DE3070453158;6201;DE;DE3070428133;2857548;22;3148;132110
